gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_208s0007g01250.1	558	447	382	490	500	488	0.193432017	0.164845259	0.324090098
VIT_212s0059g00280.1	667	791	1076	164	185	249	-2.030460995	5.21E-15	2.61E-13
VIT_200s0332g00130.1	24	14	9	20	14	17	0.247705714	0.678824593	0.809976699
VIT_209s0054g01710.1	1	5	6	2	2	5	-0.39230165	0.757323732	0.86249694
VIT_201s0137g00290.2	1515	1657	1510	2318	2452	2831	0.778960346	7.91E-09	1.57E-07
VIT_208s0040g02090.1	4236	3618	3417	3173	3407	3172	-0.11502499	0.209235539	0.380336964
VIT_207s0129g00370.1	50	56	39	59	100	63	0.702102246	0.042432303	0.117726634
VIT_215s0021g01150.1	205	214	197	187	143	171	-0.209315744	0.329509919	0.516456943
VIT_202s0025g04230.1	19	24	40	0	6	6	-2.762497787	0.001001771	0.005457616
VIT_218s0001g06790.1	2688	2095	2392	1816	1863	1859	-0.283645035	0.017806175	0.059172543
VIT_208s0007g08030.1	1293	1275	951	1718	2071	1987	0.808610978	9.73E-11	2.63E-09
VIT_215s0046g03730.1	4223	3559	3091	3208	3260	3325	-0.052182065	0.578516719	0.738348444
VIT_218s0001g08650.1	2	0	3	0	0	8	0.713512978	0.748866157	1
VIT_203s0038g00470.1	21	47	44	109	110	114	1.629530778	1.57E-05	0.000148665
VIT_208s0032g00240.1	169	126	162	51	42	57	-1.519469814	5.36E-08	8.99E-07
VIT_211s0016g04010.1	839	796	589	1097	1285	1278	0.814880487	4.16E-10	1.03E-08
VIT_210s0003g01950.1	2	1	0	0	0	0	-2.25916818	0.572294629	1
VIT_216s0039g02890.1	104	141	161	16	50	70	-1.535418813	0.000751424	0.004281271
VIT_206s0004g02750.3	1082	1020	1159	1157	1279	1364	0.298103032	0.03912198	0.110595867
VIT_209s0054g00660.1	2	4	0	2	4	0	0.12014692	0.9497142	1
VIT_218s0072g00830.1	503	324	335	367	311	380	-0.027966075	0.879410918	0.937285598
VIT_200s0239g00100.1	30	25	19	17	16	32	-0.089007228	0.862437882	0.927938972
VIT_219s0014g00560.7	2104	2072	1897	2032	2133	2111	0.134687931	0.199308549	0.368058634
VIT_207s0005g03860.1	354	321	340	303	324	360	0.043952122	0.784733903	0.881565145
VIT_215s0024g01270.1	0	2	2	1	2	10	1.708267757	0.290617324	0.476060294
VIT_213s0047g00090.1	24	22	10	10	16	10	-0.525847626	0.39974544	0.584177461
VIT_212s0034g02530.1	64	81	138	48	76	96	-0.327132199	0.428685766	0.611426552
VIT_211s0016g05580.2	3812	2817	2728	2613	2673	2547	-0.154539501	0.164064277	0.323062539
VIT_218s0001g05740.1	2902	2114	2087	1370	1807	1702	-0.44505924	0.000647616	0.0037876
VIT_218s0001g10645.1	0	0	0	2	0	0	2.003825415	0.619263398	1
VIT_203s0088g00210.1	369	286	265	345	333	280	0.161070144	0.358396509	0.545125933
VIT_207s0005g00020.1	107	64	61	60	67	107	0.11865326	0.722617224	0.838992495
VIT_203s0063g01030.2	1645	1488	1485	1933	1881	1873	0.389849962	0.000466865	0.002855809
VIT_204s0008g06920.1	2367	1614	1268	1590	2004	1978	0.198118147	0.22969105	0.405598936
VIT_205s0020g01320.1	9946	8332	8084	7968	10474	10190	0.208094966	0.065884736	0.165253689
VIT_207s0197g00160.1	421	353	312	289	268	272	-0.290278221	0.063827761	0.161372678
VIT_205s0020g03610.1	2975	2470	2157	2643	2585	2464	0.117867086	0.274150953	0.457243247
VIT_208s0007g01090.1	6	11	1	4	0	1	-1.700589827	0.256199424	0.436586316
VIT_214s0066g00850.1	386	389	346	249	294	317	-0.297391798	0.066023095	0.165487796
VIT_206s0004g00720.1	451	495	547	651	797	847	0.689559469	0.000148625	0.001057096
VIT_218s0122g00500.1	18647	14379	13001	9432	8750	8946	-0.658321814	2.62E-09	5.68E-08
VIT_206s0004g06920.1	2553	2140	2026	1869	2005	1874	-0.130453674	0.177450861	0.340386581
VIT_204s0069g01010.1	2378	1718	1339	308	495	392	-2.078613993	6.61E-28	1.26E-25
VIT_204s0008g05330.1	5326	4411	4129	5096	5911	6020	0.389755541	3.04E-05	0.000265589
VIT_214s0068g00990.1	24	25	18	15	5	19	-0.681638716	0.280833274	0.465251533
VIT_208s0007g00190.1	4093	2939	2762	2674	2761	3090	-0.096951577	0.41957826	0.602846756
VIT_200s0965g00010.1	102	108	133	138	153	194	0.568267604	0.030775259	0.091783499
VIT_219s0014g04710.3	4045	3258	3231	2629	2406	2327	-0.41893953	0.000334988	0.002141697
VIT_211s0037g01230.1	2957	3238	2364	4225	3826	3351	0.509982279	0.00087317	0.004859154
VIT_209s0054g00290.1	34	35	35	26	42	40	0.131263336	0.744524733	0.853186534
VIT_204s0210g00050.1	1745	1495	1269	1711	1586	1832	0.28515675	0.014093547	0.048997658
VIT_203s0097g00140.1	86	36	42	36	46	44	-0.260286328	0.514746937	0.687059119
VIT_205s0077g00700.1	3048	2747	2760	2118	2237	2222	-0.291867297	0.003978243	0.017525291
VIT_207s0104g01770.1	0	0	0	8	1	3	4.561105033	0.03266011	1
VIT_217s0000g06720.1	3	2	1	3	1	3	0.352537132	0.811270554	1
VIT_206s0004g05200.1	21	26	8	11	17	10	-0.424481554	0.517686997	0.689320477
VIT_216s0050g01740.1	3	2	7	2	3	0	-1.214279635	0.416450747	0.599713585
VIT_216s0039g00760.1	9	2	2	2	2	4	-0.547453131	0.666509932	0.802385426
VIT_208s0040g00780.1	6989	7060	6274	2495	3366	3997	-0.963897473	8.19E-10	1.91E-08
VIT_213s0101g00270.1	16	9	5	4	5	6	-0.871384516	0.314821096	0.501339678
VIT_209s0002g07360.1	291	258	223	223	221	248	-0.062647409	0.707067414	0.829100659
VIT_207s0031g00840.1	3322	2604	2564	2163	2502	2413	-0.167531619	0.096482979	0.219519743
VIT_204s0044g00940.1	85	79	83	62	81	63	-0.178153704	0.528630941	0.698316479
VIT_219s0015g01920.1	926	690	559	772	840	833	0.276056976	0.054409739	0.143002644
VIT_213s0047g01110.1	1963	1406	1590	1254	1328	1382	-0.228721019	0.067728522	0.168878685
VIT_200s0220g00070.1	40096	37405	36912	39818	34241	36787	0.044141669	0.713373702	0.832926207
VIT_210s0042g01080.1	0	0	0	0	0	1	1.049694586	0.796987123	1
VIT_214s0060g00980.1	402	329	386	178	189	206	-0.878054268	8.66E-07	1.11E-05
VIT_211s0052g00380.1	2	2	2	0	11	3	1.279270372	0.395734542	0.580085972
VIT_218s0001g15460.1	4666	2578	1830	1327	1345	1408	-1.019209875	4.98E-06	5.34E-05
VIT_219s0027g00720.1	2	1	1	1	0	0	-1.776557448	0.485677331	1
VIT_213s0019g04350.1	2832	2230	2192	2091	2539	2745	0.116413572	0.327442835	0.51412826
VIT_205s0020g02950.1	1225	914	763	792	832	813	-0.14499432	0.289023521	0.474248012
VIT_215s0048g02270.5	3132	2928	2493	1115	1867	1957	-0.708516553	9.86E-05	0.000744517
VIT_200s0984g00005.1	137	178	117	141	205	207	0.437816873	0.079580525	0.190842357
VIT_219s0135g00150.3	0	0	0	0	0	2	1.91651322	0.635261221	1
VIT_215s0046g02270.1	6539	5727	5207	5433	6467	6345	0.153858373	0.095340467	0.217557957
VIT_202s0025g00940.1	12	16	12	19	15	7	0.129142633	0.847239573	0.919364186
VIT_218s0001g07870.1	643	447	450	265	248	183	-1.038376536	2.80E-07	4.08E-06
VIT_211s0016g04265.1	0	1	0	1	0	1	0.997841856	0.767791136	1
VIT_215s0021g02700.1	38903	28324	12967	21454	25132	17563	-0.18695735	0.472747441	0.650942035
VIT_213s0067g00390.1	999	716	838	549	629	550	-0.470326982	0.001420224	0.007390353
VIT_212s0028g00270.1	898	522	586	336	446	576	-0.461849108	0.033506149	0.098172187
VIT_211s0103g00670.1	2	0	1	0	0	0	-2.300982667	0.564947362	1
VIT_201s0026g02540.1	1838	1614	1146	1889	1440	1323	0.130129814	0.484845937	0.660715957
VIT_204s0044g01750.1	3754	3311	3082	4292	4246	4768	0.483423628	4.93E-07	6.76E-06
VIT_210s0003g03130.1	4015	3491	2751	3883	3221	3153	0.106628305	0.457799555	0.637955044
VIT_201s0011g01810.1	103	96	107	30	82	90	-0.533296681	0.167408409	0.327093355
VIT_213s0047g00110.6	11750	13164	11015	12905	7969	6987	-0.268904651	0.237639922	0.415141416
VIT_207s0104g00930.1	5941	3886	3315	3884	4851	5429	0.217994477	0.187149271	0.352338985
VIT_219s0014g01180.1	7	10	11	11	6	3	-0.403684774	0.640197694	0.783659069
VIT_208s0040g00830.1	5	6	0	2	4	4	-0.009535582	0.994440466	0.997213528
VIT_219s0014g04250.1	25	19	31	14	21	21	-0.351027226	0.497510325	0.672357263
VIT_201s0011g05700.1	4287	3751	3113	3843	3939	3848	0.159668654	0.10243697	0.229585687
VIT_218s0001g08800.1	955	1018	1123	1205	1302	1388	0.403873157	0.01111223	0.040581995
VIT_216s0022g01490.1	0	0	1	0	0	1	0.087921914	0.982809318	1
VIT_207s0130g00130.1	4584	4571	4131	4844	4524	4422	0.143365805	0.21523615	0.388018017
VIT_219s0014g05200.1	11214	10409	9194	9196	11491	10919	0.125258845	0.214908762	0.387676187
VIT_211s0052g01510.1	22	67	16	88	63	56	1.071919716	0.045695104	0.124820104
VIT_207s0005g06420.4	5036	6574	5708	5862	4366	4288	-0.172418917	0.37709335	0.562168768
VIT_205s0049g00100.1	223	128	107	102	88	106	-0.507334481	0.068655013	0.170643431
VIT_211s0052g00410.1	64	64	56	135	128	119	1.146156233	6.94E-06	7.17E-05
VIT_210s0092g00390.1	11	9	7	0	2	3	-2.345840914	0.043691861	0.120547554
VIT_205s0094g00850.1	6192	5145	5168	4525	6262	6153	0.12410279	0.335193301	0.522327039
VIT_201s0010g01810.1	2888	2421	2219	1879	1779	1989	-0.317808888	0.002235102	0.010789725
VIT_205s0049g01000.1	1170	1173	953	1348	868	795	-0.026715735	0.902612007	0.949205778
VIT_209s0002g08270.2	4573	3976	3757	3449	3814	3525	-0.097704407	0.282447185	0.467149412
VIT_204s0023g02620.1	2301	2033	2053	2405	2213	2261	0.198075708	0.085993739	0.201877677
VIT_214s0108g01510.6	389	313	292	436	430	386	0.432203398	0.004942509	0.020886204
VIT_208s0007g05970.1	1417	1200	1115	1052	1071	1092	-0.119993277	0.245724116	0.424455201
VIT_209s0002g07210.1	2549	1984	2002	2142	2104	2244	0.086454454	0.41245608	0.596290934
VIT_208s0007g06540.5	373	330	309	382	399	291	0.178197946	0.328721595	0.515572407
VIT_206s0009g02320.1	2500	2536	2289	2644	2636	2433	0.162478115	0.169509794	0.330083814
VIT_204s0008g04790.1	151	45	55	27	37	44	-1.078485269	0.019421889	0.063335671
VIT_218s0001g03650.1	6	1	4	3	1	0	-1.317081294	0.419188918	1
VIT_219s0090g01080.1	6486	4890	4267	4005	3597	3538	-0.381236573	0.003278456	0.014927451
VIT_204s0008g00470.1	4422	2955	2536	2766	3232	2872	-0.04840739	0.74324533	0.852327846
VIT_218s0122g00750.1	16	10	7	15	17	31	1.042711397	0.095372558	0.217573466
VIT_201s0011g00350.1	9	6	2	0	0	0	-4.802016646	0.012143189	0.043458718
VIT_208s0056g00470.1	4030	3312	3242	3323	3551	3741	0.09734432	0.291509369	0.476938584
VIT_213s0073g00610.2	11322	10234	10418	9222	12237	11762	0.137128443	0.2600566	0.441022609
VIT_203s0063g02280.2	693	522	392	485	510	428	-0.063162159	0.720781249	0.83787796
VIT_203s0038g01930.1	45431	34817	32246	23970	21598	25130	-0.567357489	5.79E-07	7.80E-06
VIT_205s0102g00270.3	4528	4129	4409	3631	5009	5244	0.165052597	0.261541278	0.442806536
VIT_213s0067g02970.1	4409	3808	3600	3805	4837	5079	0.303886123	0.008933366	0.033833542
VIT_201s0127g00570.1	42	42	38	29	56	41	0.127206347	0.744606711	0.853237041
VIT_210s0003g02070.2	6174	5763	4823	7044	7306	6721	0.425582837	1.85E-05	0.000171256
VIT_203s0180g00180.1	1143	790	721	882	765	778	-0.018941986	0.904428173	0.950183535
VIT_206s0004g08050.3	1638	1396	1120	1318	1428	1485	0.126421955	0.269826558	0.45204031
VIT_215s0024g00450.1	2	1	0	0	2	5	1.356051759	0.510603937	1
VIT_204s0043g00370.1	0	2	0	7	4	8	3.33031112	0.036534995	0.104662672
VIT_203s0038g02350.1	971	623	539	509	582	542	-0.272210066	0.115177746	0.250339505
VIT_206s0004g05450.1	0	0	0	0	0	1	1.049694586	0.796987123	1
VIT_211s0149g00400.1	522	377	283	411	284	329	-0.086482215	0.697466345	0.822282649
VIT_212s0142g00070.1	3629	2714	2654	2808	2857	3051	0.053829895	0.611810829	0.763096457
VIT_215s0048g00340.1	637	620	556	381	460	519	-0.329588922	0.027979676	0.08508044
VIT_206s0004g05900.1	1477	1529	1475	1668	1823	1704	0.295170291	0.018509126	0.060986377
VIT_204s0008g00660.1	2976	2072	1741	1358	1646	1660	-0.433367358	0.003196602	0.014604974
VIT_208s0007g07210.1	7645	7598	6101	12819	10854	9558	0.737581633	8.89E-07	1.14E-05
VIT_200s0299g00100.1	823	957	690	1428	1350	1383	0.843346213	1.43E-08	2.71E-07
VIT_218s0001g02590.1	26	27	21	8	13	8	-1.262653735	0.028101992	0.085383174
VIT_200s0199g00280.1	0	4	3	3	1	2	-0.184042553	0.910652975	1
VIT_208s0007g03610.1	29559	26076	24279	24097	24500	24152	-0.042309071	0.611839898	0.763096457
VIT_214s0006g02970.1	354	281	277	137	169	176	-0.827428658	3.64E-06	4.04E-05
VIT_211s0016g04630.1	3132	3394	3183	4161	4384	4701	0.527832442	2.52E-05	0.000225119
VIT_200s0299g00110.1	574	697	451	696	961	785	0.591479433	0.001381567	0.007214206
VIT_213s0067g01610.1	4	3	6	4	8	4	0.364018102	0.721885024	0.838583845
VIT_203s0038g02070.2	8374	5921	6206	4789	5386	5581	-0.281900088	0.013543682	0.047526037
VIT_201s0011g05050.2	1586	1412	1303	1364	1359	1454	0.050493128	0.620660777	0.769239374
VIT_209s0002g01540.1	8	4	2	4	8	3	0.232915725	0.827467889	0.907396762
VIT_207s0151g01080.2	6637	4998	4569	3650	5402	5778	-0.032750815	0.837608052	0.913713649
VIT_213s0019g00170.1	8	0	8	0	0	0	-4.766100263	0.037535693	0.107066142
VIT_216s0050g00810.1	1264	1018	1249	708	697	566	-0.75388182	8.55E-06	8.67E-05
VIT_214s0083g01220.1	34	90	156	15	10	9	-3.016696788	7.64E-07	9.97E-06
VIT_204s0023g03250.2	4727	3975	3285	3547	3583	3741	-0.039879813	0.696215494	0.821740349
