gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_05s0077g00600.t01	224	289	240	152	175	183	-0.464684335	0.009601689	0.035637847
VIT_10s0003g01830.t01	165	133	143	106	111	187	-0.055031121	0.85290403	0.918408159
VIT_03s0038g02510.t01	9768	12238	10409	12010	9756	8932	0.02585372	0.858144354	0.92149
VIT_11s0016g00910.t01	1413	1070	1100	760	892	964	-0.385411016	0.045099352	0.122787142
VIT_00s1864g00010.t01	154	298	203	157	141	136	-0.47169608	0.046720869	0.126003268
VIT_16s0100g00340.t01	6438	9220	7411	7888	7918	7884	0.144320599	0.141951829	0.288835958
VIT_06s0004g00790.t01	371	524	352	298	218	268	-0.558785241	0.005152481	0.021272333
VIT_08s0007g07000.t01	0	0	8	6	4	0	0.414003066	0.841040123	0.911544812
VIT_05s0020g04690.t01	12	10	8	10	2	1	-1.096432781	0.294387198	0.478123398
VIT_09s0018g00610.t01	706	1151	884	758	784	761	-0.139772053	0.319666652	0.504821528
VIT_02s0025g03710.t01	54	57	60	16	27	41	-0.945953053	0.02767823	0.083884637
VIT_13s0067g01740.t01	11	7	13	4	11	20	0.22783127	0.779007712	0.876465019
VIT_15s0046g03520.t01	2800	2660	3442	5026	4724	4363	0.749338544	3.63E-06	3.86E-05
VIT_14s0060g01650.t01	0	0	0	0	0	1	1.053488247	0.79626955	1
VIT_17s0053g01060.t01	0	0	1	2	0	0	1.042668923	0.794764495	1
VIT_01s0010g01770.t01	4771	7008	5163	3876	4526	4524	-0.285127716	0.010949764	0.039671064
VIT_12s0034g01840.t01	35	27	28	17	16	18	-0.742126084	0.135770492	0.27946215
VIT_18s0001g00400.t01	2	0	0	0	0	2	-0.062515856	0.986339094	1
VIT_00s0194g00160.t01	26	28	18	26	24	32	0.280993317	0.552027823	0.717417533
VIT_07s0005g04860.t01	1012	1018	1011	947	972	926	-0.008828361	0.946559997	0.971034535
VIT_14s0108g00340.t01	2626	1931	2262	1402	2270	2912	0.008208292	0.973161521	0.985427178
VIT_17s0000g07880.t01	4631	6761	4947	4298	5416	5872	0.034716701	0.792649742	0.885121039
VIT_14s0108g01650.t01	11608	14508	12638	11795	13161	13335	0.078825918	0.337724625	0.523482313
VIT_02s0025g04280.t01	4394	8826	5472	1516	3424	2669	-1.183433086	1.95E-06	2.22E-05
VIT_00s0505g00050.t01	5	13	3	9	7	5	0.148751558	0.873392919	0.929531856
VIT_18s0122g00980.t01	23	29	45	64	106	66	1.370684066	0.000626112	0.003634908
VIT_18s0086g00190.t01	785	978	865	643	811	808	-0.122395334	0.335146887	0.520614537
VIT_15s0046g01560.t01	337945	283579	302396	554912	490235	453893	0.778536507	2.35E-06	2.63E-05
VIT_05s0020g01360.t01	460	900	512	348	423	526	-0.409957423	0.062768822	0.157572385
